0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,fid
43.6671,41.0475,37.0352,41.062,45.1102,57.538000000000004,66.2522,77.7454,101.956,112.13600000000001,131.158,149.119,174.454,224.56599999999997,265.819,351.764,t131
48.5493,45.8214,41.7178,46.3034,50.9599,64.459,73.5362,85.5491,109.70200000000001,118.12700000000001,138.411,154.618,178.105,226.657,265.528,350.577,t132
44.7684,42.7989,39.4071,43.6806,48.4567,61.0275,69.6109,81.2166,104.727,115.035,133.77200000000002,151.393,175.357,226.595,268.455,353.62699999999995,t133
45.528,43.2826,40.1178,44.832,49.4632,62.1983,71.0537,82.7338,107.56,115.93799999999999,136.389,152.373,177.139,229.632,270.151,361.26,t134
49.8924,48.1795,44.931000000000004,50.5007,55.7984,71.0317,81.1612,94.7807,122.35600000000001,133.107,154.168,173.255,201.11700000000002,256.425,300.481,392.54900000000004,t135
53.4936,50.9196,47.0485,52.1885,57.7186,72.4003,82.8299,96.5706,124.936,135.549,158.278,176.989,204.662,263.615,310.533,409.57,t136
52.2643,49.5406,45.0938,50.0625,55.2658,70.0206,80.4763,94.5574,122.073,132.845,154.645,174.06,202.149,257.807,304.155,400.759,t137
50.6249,48.5791,44.6555,50.081,54.973,69.8348,80.0455,93.5425,121.992,132.136,154.46200000000002,172.141,201.033,258.025,304.738,405.852,t138
60.4536,54.505,47.3954,48.7801,50.6469,59.5286,65.8763,74.3657,91.2804,99.3102,112.213,125.178,142.96200000000002,177.31099999999998,207.707,270.781,t139
54.4306,50.027,42.8258,46.2678,50.1602,64.0315,73.821,85.8941,109.475,116.852,137.37,150.73,172.832,209.30700000000002,237.62,308.298,t14
68.2965,62.0996,54.8687,56.8731,59.5998,70.6853,78.4838,89.6527,109.11,118.57,132.849,148.015,168.676,204.6,233.726,294.127,t140
64.1045,57.1962,49.5091,50.5134,51.8062,60.1371,66.569,74.9889,91.5332,98.7092,111.735,124.697,140.95,172.093,198.174,254.06400000000002,t141
67.6958,60.9661,53.0516,54.5231,56.9597,66.8984,74.2687,83.9843,102.24799999999999,111.256,125.072,139.373,156.761,190.65099999999998,219.225,279.079,t142
61.3524,54.8901,47.8391,48.792,50.4632,58.9395,65.3396,73.6792,91.1844,99.6976,113.053,127.234,145.46200000000002,181.62900000000002,212.87400000000002,278.27299999999997,t143
65.5033,58.9708,51.6224,52.9143,55.5881,65.3372,72.5481,82.196,100.964,109.80799999999999,123.859,138.439,156.661,190.31099999999998,218.07299999999998,277.327,t144
63.3091,56.839,49.3136,50.3246,52.4528,61.5099,68.2253,77.0387,94.0847,101.846,114.819,129.064,145.69,178.13,205.665,263.337,t145
64.5192,57.93,50.3498,51.5232,52.9117,61.7724,68.104,76.5204,94.0418,101.682,115.152,128.162,145.757,179.361,207.628,268.045,t146
61.7824,55.794,48.7851,49.9036,51.9473,60.6763,67.2384,75.467,93.1358,101.81299999999999,115.35600000000001,128.987,146.94899999999998,183.611,214.892,279.966,t147
58.478,52.5511,46.0225,47.3901,49.1128,57.6466,64.1163,72.5378,90.0599,98.18700000000001,111.315,124.662,142.94,180.082,212.146,277.278,t148
62.047,55.8961,48.842,49.961999999999996,51.9217,60.9512,67.4933,76.1174,93.22,100.98200000000001,113.977,127.029,144.043,177.213,205.65400000000002,265.836,t149
52.973,48.5163,41.4297,45.0891,49.316,63.1048,72.8793,85.6773,109.16799999999999,117.62200000000001,138.884,152.373,176.524,214.334,245.275,320.732,t15
64.4214,58.4061,51.2552,52.9304,55.3743,65.0195,72.1823,81.7942,101.803,111.333,126.637,142.746,163.451,207.26,245.812,322.909,t150
62.7336,56.6883,49.9004,50.6977,51.8443,59.8266,65.9106,73.8061,89.4449,96.6602,108.476,120.37,136.679,166.862,193.378,250.49400000000003,t151
61.638000000000005,54.996,47.5308,48.1949,48.9941,56.3099,61.8812,68.9887,84.4017,91.4369,102.787,114.234,130.22,159.843,186.213,242.16299999999998,t152
64.5757,58.2289,50.8904,51.9591,53.7088,62.2831,68.6938,77.3583,94.8869,103.08200000000001,116.162,129.283,147.112,179.78,207.514,265.591,t154
66.4017,59.9119,52.6159,53.7539,55.2327,64.068,70.6745,79.4978,97.4646,105.819,119.432,132.965,151.273,185.84099999999998,215.623,277.791,t155
62.7912,56.5655,49.2494,50.227,51.974,60.8216,67.4475,76.2052,93.5083,101.97200000000001,115.311,129.12,147.245,182.43,212.49,275.462,t156
64.3269,58.1898,50.744,51.5552,52.6821,60.968,67.2265,75.6584,93.0129,100.637,113.939,126.78200000000001,144.382,177.18200000000002,203.96400000000003,262.547,t157
61.8369,55.7061,48.8622,49.6252,50.6492,58.6152,64.8233,72.6282,88.6369,96.3362,108.58200000000001,120.686,137.701,170.34599999999998,198.544,258.743,t159
80.6833,73.1005,61.8188,65.693,69.7707,87.2638,99.7714,116.62,146.128,156.121,181.18,199.97299999999998,226.31400000000002,269.212,300.76,379.55699999999996,t16
64.6278,58.1785,50.2405,50.4654,51.03,58.5055,64.4169,72.1851,88.6569,96.8462,109.56,122.625,139.97799999999998,172.783,201.058,260.312,t160
64.0724,57.6804,50.301,51.3133,53.1516,61.8369,68.4551,76.7676,94.8001,102.311,116.36,129.828,147.47899999999998,182.195,210.782,272.562,t161
63.7822,57.4517,50.4688,51.4416,53.1771,61.5431,67.9909,76.4519,93.3714,101.205,113.98,127.265,144.129,177.608,206.324,266.457,t162
60.7041,55.0898,48.2493,49.4192,50.6675,58.7283,64.8828,73.0772,90.2205,98.26299999999999,110.774,123.139,140.859,174.898,205.019,266.124,t163
60.5288,54.2325,46.8102,46.9716,47.9987,54.9298,60.5659,68.1101,83.5077,91.1416,102.98299999999999,114.836,131.1,162.705,189.825,246.9,t164
61.5395,55.6149,48.79,49.8931,50.9576,59.1697,65.3641,73.582,89.8409,97.7387,110.124,122.402,139.539,172.044,199.912,257.228,t165
61.0956,55.273999999999994,48.6435,49.121,49.8135,57.3119,63.0417,70.7158,86.2517,93.5844,105.52600000000001,116.255,132.83700000000002,163.27200000000002,190.59099999999998,247.144,t166
61.4407,55.563,48.678999999999995,49.4757,50.5769,57.9712,63.8976,71.39,87.6223,95.1822,106.79299999999999,118.086,134.83,166.42,194.34799999999998,251.81900000000002,t167
63.2511,57.5967,50.7497,51.7522,53.2284,61.247,67.4858,75.8535,93.0802,100.741,113.552,125.764,143.528,177.132,205.696,264.592,t168
63.8376,57.8616,50.8629,52.0243,53.5596,62.3033,68.9069,77.77199999999999,94.9935,103.229,116.4,129.35299999999998,148.015,182.399,212.826,274.612,t169
75.6711,67.6584,56.604,58.3079,61.0741,74.8869,84.18799999999999,98.1355,121.015,129.716,146.451,161.153,180.97400000000002,210.051,231.333,292.47900000000004,t17
71.899,65.029,57.0315,58.3707,60.5292,70.7969,78.2938,88.7419,108.464,117.211,131.847,146.862,166.298,201.745,230.457,291.118,t170
65.388,59.1702,51.805,52.3635,53.32,61.1572,67.1447,75.1196,91.1871,99.2874,110.99600000000001,122.369,139.33700000000002,169.828,196.611,252.737,t171
61.6914,55.729,48.9282,49.3482,50.0814,57.8495,63.7407,71.5985,87.8584,94.9122,106.95,118.45,135.168,167.55599999999998,195.953,254.794,t172
64.1252,58.0198,50.9836,51.6118,52.5625,60.2092,66.4016,74.3137,90.2741,97.5691,109.91,121.779,138.243,169.977,197.261,254.986,t173
60.4289,54.555,47.8058,48.1451,48.5377,55.489,61.1156,68.50399999999999,83.2385,90.316,101.671,112.774,128.251,157.722,182.639,236.165,t174
64.6853,58.5445,51.4122,52.111000000000004,53.2591,61.6945,68.2008,77.0133,94.6257,102.947,115.885,128.415,146.491,180.11,208.96200000000002,268.184,t175
63.5582,57.4777,50.3028,51.128,52.1166,60.1893,66.3415,74.8453,90.9784,98.5196,110.801,122.68,138.934,169.74599999999998,195.93400000000003,251.584,t176
67.4776,60.8819,53.5798,54.3155,55.5323,63.9299,70.2634,78.6893,95.2659,103.13,115.655,127.37100000000001,144.623,176.85299999999998,205.30700000000002,264.683,t177
68.9122,63.0699,55.6728,56.9663,58.9238,68.6836,75.9368,85.9028,104.323,113.611,127.208,140.849,159.938,195.47099999999998,226.61900000000003,288.779,t178
66.8207,60.5585,53.0908,53.9631,55.2616,63.6942,70.2977,79.0766,97.0704,105.539,118.7,131.864,149.928,184.726,215.05700000000002,277.639,t179
